sequence,length,chi_squared,log_chi_squared,p_value
11011101010110111101100011101011,32,2.1463400609510668,0.33169853165341173,0.9404025338590145
10101111110101100111110110000111,32,4.2906144478218025,0.6325194908304052,0.7106523457914591
10111011100100110101111011100010,32,3.478782128687252,0.541427230336609,0.7877077963203192
00101011001001001011100001010101,32,6.563452360416307,0.8171323373458214,0.46359608229249716
10111011111111110001011000000110,32,86.0387841907923,1.9346942647679513,0.0155048375017941
00110001111110111110011100000001,32,16.842389996751052,1.2264037195123203,0.12772719794884324
10101110001011010000000010101100,32,20.58595761536938,1.313571074267557,0.0895290533080697
10111010111001101010101110011110,32,4.096429187510781,0.6124054518747446,0.7433206457644701
01010101011111100111111001111111,32,25.7971382910531,1.4115715318029225,0.06218718830496073
11111001100101001110001100100000,32,9.64295900178253,0.9842103203093479,0.2797801080159843
11100101010111011010000011111101,32,6.252117524125637,0.7960271330706841,0.5032854750752449
00011000001110101000110101000100,32,4.344563279857398,0.6379461272333802,0.6996031031012535
10000100011000010000011001010111,32,2.7088896555689725,0.43279131475870447,0.8793568536639214
10010100011011001000100010000110,32,1.622275889828072,0.2101247137722302,0.9824363365769386
00001011001000111101100110101010,32,3.4249324363176354,0.534652008580606,0.7936206590384245
11001111011000011001100001000110,32,11.227933988844804,1.0502998506702106,0.2107740417122841
00001001111110000101001001100101,32,6.632843186824735,0.8216997298625637,0.45328270085155964
00100101101110010100011010001001,32,3.9625668449197864,0.5979766014428292,0.7568264622241259
10011101101110000101010010011000,32,1.622275889828072,0.2101247137722302,0.9824363365769386
11000101001001110000001011111110,32,12.003174310476544,1.0792961129826406,0.19468512199819088
11110111101011000001011011101010,32,5.173239031683055,0.7137625456317036,0.5916866436600685
00110100111101001011001000000110,32,7.354250811458166,0.8665384370877574,0.4033024227246642
10001011000010001001101000101010,32,4.096429187510781,0.6124054518747446,0.7433206457644701
01001111000111001000000110001010,32,4.392575232135528,0.6427192084420107,0.6945316419005394
00101010010010011110100001000011,32,7.615634523604163,0.8817060939648462,0.38224953785538673
00001001110000000000101010110100,32,81.6634880110402,1.9120279255697916,0.023282081820070744
11011010001110001100111010100110,32,4.75668449197861,0.6773043458834449,0.6507182158529758
11001010011000001111000111111001,32,6.522343503080269,0.8144036674481416,0.470990720205009
11000000011001001010101011011101,32,11.144639674051438,1.047066031533091,0.21475592628121376
11010011111110101001010111011011,32,11.144639674051438,1.047066031533091,0.21475592628121376
11011001011010110000100011011001,32,5.076821344373526,0.7055918806553592,0.6029416117817163
10001101001011100100001101000101,32,2.1463400609510668,0.33169853165341173,0.9404025338590145
11100111010110110000010100010011,32,2.7233511586452765,0.43510364443549965,0.8743226826190948
10100110111010111001101110110111,32,4.325311942959002,0.6360174343951429,0.7081352602690458
11100011111000011111110111111011,32,17.935254121873243,1.2537075345076873,0.11904719611629844
00110010010111010011111111100100,32,42.49869738105032,1.6283756187822722,0.035277316346764565
11101000101111001110000001001101,32,4.392575232135528,0.6427192084420107,0.6945316419005394
01101011100111101100011110110010,32,2.2190500833764593,0.34616710425479924,0.9305477626621723
01011010101011101111111111001000,32,84.3308734402852,1.925986598469303,0.017655002418905497
